1,48,50,2017/5/5 12:20,2017/5/5 15:10,30,113,0,119
2,48,50,2017/5/7 12:20,2017/5/7 15:10,40,66,0,119
3,48,50,2017/5/8 12:20,2017/5/8 15:10,31,30,0,119
4,49,48,2017/5/5 21:00,2017/5/5 23:45,59,123,0,161
5,48,50,2017/5/6 12:20,2017/5/6 15:10,40,97,0,119
6,68,49,2017/5/6 11:15,2017/5/6 13:25,6,90,0,161
7,68,49,2017/5/8 11:15,2017/5/8 13:25,129,145,0,183
8,68,49,2017/5/5 11:15,2017/5/5 13:25,133,153,0,183
9,50,48,2017/5/5 8:05,2017/5/5 11:00,30,101,0,119
10,50,48,2017/5/6 8:05,2017/5/6 11:00,40,100,0,119
11,50,48,2017/5/7 8:05,2017/5/7 11:00,40,79,0,119
12,50,48,2017/5/8 8:05,2017/5/8 11:00,31,74,0,119
13,48,49,2017/5/5 8:05,2017/5/5 10:45,103,147,0,161
14,48,49,2017/5/6 8:05,2017/5/6 10:45,59,133,0,161
15,50,72,2017/5/5 7:30,2017/5/5 10:25,50,135,0,161
16,50,72,2017/5/6 7:30,2017/5/6 10:25,94,131,0,161
17,50,72,2017/5/7 7:30,2017/5/7 10:25,69,102,0,161
18,50,72,2017/5/8 7:30,2017/5/8 10:25,135,101,0,183
19,36,4,2017/5/5 12:45,2017/5/6 1:25,24,85,54,213
20,72,49,2017/5/7 15:15,2017/5/7 17:55,29,110,0,163
21,72,49,2017/5/8 15:15,2017/5/8 17:55,29,92,0,163
22,71,32,2017/5/7 12:30,2017/5/7 14:15,92,84,37,155
23,32,49,2017/5/7 15:15,2017/5/7 16:40,92,73,37,155
24,72,49,2017/5/5 15:15,2017/5/5 17:55,92,145,0,155
25,72,49,2017/5/6 15:15,2017/5/6 17:55,29,103,0,163
26,50,72,2017/5/5 16:25,2017/5/5 19:25,76,142,0,161
27,50,72,2017/5/6 16:25,2017/5/6 19:25,101,92,0,161
28,50,72,2017/5/7 16:25,2017/5/7 19:25,99,108,0,161
29,50,72,2017/5/8 16:25,2017/5/8 19:25,73,93,0,161
30,68,49,2017/5/7 21:15,2017/5/7 23:10,41,85,0,119
31,71,32,2017/5/8 12:30,2017/5/8 14:15,90,59,59,155
32,32,49,2017/5/8 15:15,2017/5/8 16:40,90,61,59,155
33,72,50,2017/5/7 20:25,2017/5/7 23:10,99,84,0,161
34,50,67,2017/5/5 10:50,2017/5/5 13:20,33,119,0,119
35,50,67,2017/5/6 10:50,2017/5/6 13:20,12,126,0,161
36,50,67,2017/5/7 10:50,2017/5/7 13:20,15,82,0,161
37,50,67,2017/5/8 10:50,2017/5/8 13:20,74,76,0,161
38,68,49,2017/5/8 21:15,2017/5/8 23:10,30,64,0,119
39,72,50,2017/5/6 20:25,2017/5/6 23:10,101,122,0,161
40,72,50,2017/5/5 20:25,2017/5/5 23:10,76,124,0,161
41,72,50,2017/5/8 20:25,2017/5/8 23:10,73,66,0,161
42,49,32,2017/5/5 7:15,2017/5/5 8:50,90,151,10,155
43,49,32,2017/5/6 7:15,2017/5/6 8:50,7,101,50,161
44,49,32,2017/5/7 7:15,2017/5/7 8:50,92,110,29,155
45,49,32,2017/5/8 7:15,2017/5/8 8:50,90,74,52,155
46,71,32,2017/5/5 12:30,2017/5/5 14:15,90,79,66,155
47,32,49,2017/5/5 15:15,2017/5/5 16:40,90,94,66,155
48,71,32,2017/5/6 12:30,2017/5/6 14:15,7,81,39,161
49,67,50,2017/5/5 14:30,2017/5/5 16:55,33,119,0,119
50,67,50,2017/5/6 14:30,2017/5/6 16:55,12,123,0,161
51,67,50,2017/5/7 14:30,2017/5/7 16:55,15,106,0,161
52,67,50,2017/5/8 14:30,2017/5/8 16:55,74,63,0,161
53,32,49,2017/5/6 15:15,2017/5/6 16:40,7,81,39,161
54,72,50,2017/5/7 11:40,2017/5/7 14:25,69,116,0,161
55,49,72,2017/5/5 11:15,2017/5/5 14:10,92,124,0,155
56,72,50,2017/5/5 11:40,2017/5/5 14:25,70,141,0,161
57,72,50,2017/5/6 11:40,2017/5/6 14:25,134,183,0,183
58,72,50,2017/5/8 11:40,2017/5/8 14:25,135,83,0,183
59,49,72,2017/5/6 11:15,2017/5/6 14:10,29,125,0,163
60,49,72,2017/5/7 11:15,2017/5/7 14:10,29,126,0,163
61,49,72,2017/5/8 11:15,2017/5/8 14:10,29,111,0,163
62,32,71,2017/5/5 10:10,2017/5/5 11:45,90,115,10,155
63,32,71,2017/5/6 10:10,2017/5/6 11:45,7,84,50,161
64,32,71,2017/5/7 10:10,2017/5/7 11:45,92,91,29,155
65,32,71,2017/5/8 10:10,2017/5/8 11:45,90,74,52,155
66,49,36,2017/5/5 9:30,2017/5/5 10:45,24,41,54,213
67,49,68,2017/5/7 18:20,2017/5/7 20:25,41,63,0,119
68,49,68,2017/5/8 18:20,2017/5/8 20:25,30,46,0,119
69,4,36,2017/5/6 4:25,2017/5/6 18:15,24,134,79,213
70,50,48,2017/5/5 15:55,2017/5/5 19:05,44,119,0,119
71,50,48,2017/5/7 15:55,2017/5/7 19:05,40,43,0,119
72,50,48,2017/5/8 15:55,2017/5/8 19:05,45,54,0,119
73,36,49,2017/5/6 20:25,2017/5/6 21:40,24,9,79,213
74,49,67,2017/5/6 7:10,2017/5/6 9:50,45,89,10,119
75,49,67,2017/5/8 7:10,2017/5/8 9:50,44,50,16,119
76,49,67,2017/5/5 21:05,2017/5/5 23:35,140,121,0,183
77,49,67,2017/5/6 21:05,2017/5/6 23:35,121,119,0,183
78,49,67,2017/5/7 21:05,2017/5/7 23:35,120,81,0,183
79,49,67,2017/5/8 21:05,2017/5/8 23:35,121,44,0,183
80,67,69,2017/5/6 10:55,2017/5/6 13:40,45,101,10,119
81,67,69,2017/5/8 10:55,2017/5/8 13:40,44,82,16,119
82,50,38,2017/5/7 18:40,2017/5/7 20:15,65,54,22,161
83,48,50,2017/5/5 20:15,2017/5/5 23:00,44,119,0,119
84,48,50,2017/5/7 20:15,2017/5/7 23:00,40,73,0,119
85,48,50,2017/5/8 20:15,2017/5/8 23:00,45,47,0,119
86,50,68,2017/5/5 8:50,2017/5/5 11:05,46,99,0,119
87,50,68,2017/5/6 8:50,2017/5/6 11:05,101,123,0,161
88,50,68,2017/5/7 8:50,2017/5/7 11:05,98,114,0,161
89,50,68,2017/5/8 8:50,2017/5/8 11:05,45,74,0,119
90,49,67,2017/5/5 7:10,2017/5/5 9:50,45,112,11,119
91,67,69,2017/5/5 10:55,2017/5/5 13:40,45,107,11,119
92,67,49,2017/5/5 11:45,2017/5/5 14:15,132,122,0,183
93,67,49,2017/5/8 11:45,2017/5/8 14:15,131,128,0,183
94,69,67,2017/5/5 14:30,2017/5/5 16:55,45,76,49,119
95,69,67,2017/5/7 14:30,2017/5/7 16:55,44,37,48,119
96,67,49,2017/5/5 17:55,2017/5/5 20:25,45,38,49,119
97,67,49,2017/5/7 17:55,2017/5/7 20:25,44,33,48,119
